iter	Passed	Remaining
0	165	165604
1	185	92560
2	198	65818
3	207	51736
4	218	43412
5	227	37682
6	235	33443
7	244	30332
8	254	27993
9	263	26110
10	273	24596
11	283	23310
12	291	22151
13	301	21207
14	309	20348
15	317	19535
16	327	18950
17	337	18403
18	346	17865
19	355	17401
20	363	16941
21	372	16549
22	381	16189
23	390	15862
24	399	15571
25	408	15306
26	418	15064
27	427	14849
28	436	14612
29	445	14395
30	454	14197
31	463	14018
32	472	13857
33	483	13737
34	493	13604
35	503	13484
36	512	13350
37	522	13226
38	532	13116
39	542	13010
40	550	12869
41	559	12759
42	570	12686
43	580	12613
44	588	12498
45	596	12379
46	606	12303
47	616	12217
48	625	12148
49	634	12063
50	643	11968
51	651	11875
52	659	11791
53	668	11716
54	678	11660
55	687	11595
56	696	11528
57	706	11474
58	715	11414
59	724	11357
60	734	11306
61	743	11243
62	752	11185
63	761	11131
64	771	11098
65	780	11045
66	789	10996
67	797	10937
68	807	10890
69	815	10834
70	824	10781
71	833	10739
72	842	10694
73	851	10654
74	860	10613
75	870	10579
76	879	10540
77	888	10502
78	897	10464
79	906	10424
80	915	10383
81	923	10343
82	933	10311
83	943	10289
84	953	10264
85	962	10232
86	972	10206
87	981	10173
88	992	10154
89	1002	10134
90	1012	10117
91	1022	10091
92	1033	10080
93	1042	10046
94	1052	10023
95	1062	10007
96	1071	9975
97	1081	9949
98	1089	9919
99	1098	9887
100	1107	9856
101	1116	9828
102	1126	9807
103	1135	9784
104	1144	9751
105	1153	9724
106	1162	9701
107	1171	9678
108	1180	9652
109	1190	9634
110	1199	9604
111	1207	9571
112	1216	9550
113	1226	9528
114	1234	9500
115	1243	9474
116	1251	9447
117	1260	9424
118	1270	9408
119	1281	9397
120	1291	9382
121	1301	9364
122	1311	9353
123	1321	9333
124	1329	9309
125	1340	9295
126	1350	9283
127	1360	9271
128	1370	9253
129	1381	9246
130	1391	9229
131	1401	9213
132	1410	9192
133	1419	9175
134	1430	9166
135	1440	9150
136	1450	9135
137	1459	9113
138	1468	9095
139	1479	9088
140	1491	9088
141	1502	9078
142	1513	9072
143	1524	9061
144	1533	9044
145	1544	9035
146	1555	9023
147	1564	9006
148	1573	8987
149	1583	8972
150	1594	8964
151	1604	8949
152	1614	8940
153	1624	8923
154	1633	8906
155	1643	8890
156	1653	8878
157	1663	8863
158	1672	8845
159	1681	8829
160	1691	8814
161	1701	8801
162	1710	8785
163	1720	8771
164	1730	8755
165	1741	8747
166	1750	8732
167	1759	8712
168	1767	8692
169	1776	8674
170	1786	8660
171	1796	8648
172	1805	8632
173	1815	8616
174	1825	8606
175	1835	8591
176	1843	8573
177	1853	8557
178	1861	8539
179	1870	8522
